Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,ILO estimates based on national sources,SI_COV_BENFTS,72,None,None,None,PT,2025-03-15T00:00:00,2022,15.44
2019,A,0,ILO estimates based on national sources,SI_COV_BENFTS,72,None,None,None,PT,2025-03-15T00:00:00,2022,14.66
2022,A,0,ILO estimates based on national sources,SI_COV_BENFTS,72,None,None,None,PT,2025-03-15T00:00:00,2022,13.54
2015,A,0,ILO estimates based on national sources,SI_COV_CHLD,72,None,Y0T14,None,PT,2025-03-15T00:00:00,2022,5.53
2019,A,0,ILO estimates based on national sources,SI_COV_CHLD,72,None,Y0T14,None,PT,2025-03-15T00:00:00,2022,4.23
2022,A,0,ILO estimates based on national sources,SI_COV_CHLD,72,None,Y0T14,None,PT,2025-03-15T00:00:00,2022,2.35
2022,A,0,ILO estimates based on national sources,SI_COV_DISAB,72,None,None,None,PT,2025-03-15T00:00:00,2022,2.7
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_LMKT,72,None,None,None,PT,2025-04-29T00:00:00,2015,6.22835148337582
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_LMKT,72,None,None,Q1,PT,2025-04-29T00:00:00,2015,7.10875382036913
2022,A,0,ILO estimates based on national sources,SI_COV_MATNL,72,F,Y15T49,None,PT,2025-03-15T00:00:00,2022,8.5
2000,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,93.0
2015,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,100.0
2016,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,100.0
2019,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,100.0
2020,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,100.0
2022,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,None,Y_GE65,None,PT,2025-03-15T00:00:00,2022,100.0
2015,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,F,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2016,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,F,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2019,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,F,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2020,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,F,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2015,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,M,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2016,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,M,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2019,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,M,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2020,A,0,ILO estimates based on national sources,SI_COV_PENSN,72,M,Y_GE65,None,PT,2025-03-15T00:00:00,2020,100.0
2022,A,0,ILO estimates based on national sources,SI_COV_POOR,72,None,None,None,PT,2025-03-15T00:00:00,2022,8.08
2009,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCAST,72,None,None,None,PT,2025-04-29T00:00:00,2015,73.7742720372755
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCAST,72,None,None,None,PT,2025-04-29T00:00:00,2015,52.1948478539349
2009,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCAST,72,None,None,Q1,PT,2025-04-29T00:00:00,2015,91.6319386082215
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCAST,72,None,None,Q1,PT,2025-04-29T00:00:00,2015,63.3384496693624
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCINS,72,None,None,None,PT,2025-04-29T00:00:00,2015,3.76781661277387
2015,A,0,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",SI_COV_SOCINS,72,None,None,Q1,PT,2025-04-29T00:00:00,2015,2.01765296856191
