Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Item non-response for the overall SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,None,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,Item non-response for the overall SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,None,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,Item non-response for domain 1 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_1,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,Item non-response for domain 1 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_1,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_2,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_2,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_3,NUMBER,2022-03-05T00:00:00,2020-2021,4
2021,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_3,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,Item non-response for domain 4 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_4,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,Item non-response for domain 4 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_4,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,Item non-response for domain 5 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_5,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,Item non-response for domain 5 of SDG indicator 10.7.2 is 10 per cent or more.,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_5,NUMBER,2022-03-05T00:00:00,2020-2021,4
2019,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_6,NUMBER,2022-03-05T00:00:00,2020-2021,2
2021,A,0,,"United Nation Inquiry among Governments on Population and Development (the “Inquiry”). The Inquiry was sent to 197 countries, including all 193 Member States, two Observer States, and 2 non-member States.",SG_CPA_MIGRS,72,PD_6,NUMBER,2022-03-05T00:00:00,2020-2021,4
