Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,83.32000000000004
2001,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,45.47966699999999
2002,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,57.929667
2003,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,-20.545
2004,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,42.07533299999999
2005,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,81.79621000000002
2006,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,93.676132
2007,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,125.403433
2008,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,642.6158889999998
2009,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,1340.895889
2010,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,229.63
2011,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,788.3143740144928
2012,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,155.41251402035226
2013,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,42.70871721190186
2014,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,70.86879691443272
2015,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,-53.94109829
2016,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,-7.155105142
2017,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,1.2321117772596644
2018,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,-83.81289472
2019,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,-74.48953178
2020,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,31.94701624079769
2021,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,327.14791615337737
2022,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,173.77191252686353
2023,A,6,"Net disbursements, Based on OECD, DAC database, 2025, Current USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TRF_TOTL,72,USD,2025-05-19T00:00:00,2023,210.3330994568076
