Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRBASEL,204,PT,2025-03-21T00:00:00,2020-2024,17.0
2020,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRBASEL,204,PT,2025-03-21T00:00:00,2020-2024,20.0
2025,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRBASEL,204,PT,2025-03-21T00:00:00,2020-2024,100.0
2020,A,0,Ministry of Living Environment and Sustainable Development,SG_HAZ_CMRMNMT,204,PT,2025-03-25T00:00:00,2020-2024,33.33
2025,A,0,Ministry of Living Environment and Sustainable Development,SG_HAZ_CMRMNMT,204,PT,2025-03-25T00:00:00,2020-2024,66.67
2015,A,0,Direction Générale de l'Environnement et du Climat,SG_HAZ_CMRMNTRL,204,PT,2025-03-21T00:00:00,2020-2024,100.0
2020,A,0,Direction Générale de l'Environnement et du Climat,SG_HAZ_CMRMNTRL,204,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,Direction Générale de l'Environnement et du Climat,SG_HAZ_CMRMNTRL,204,PT,2025-03-21T00:00:00,2020-2024,100.0
2015,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRROTDAM,204,PT,2025-03-21T00:00:00,2020-2024,78.0
2020,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRROTDAM,204,PT,2025-03-21T00:00:00,2020-2024,78.0
2025,A,0,Ministère du Cadre de Vie et du Développement Durable,SG_HAZ_CMRROTDAM,204,PT,2025-03-21T00:00:00,2020-2024,93.44
2015,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,204,PT,2025-03-21T00:00:00,2020-2024,33.0
2020,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,204,PT,2025-03-21T00:00:00,2020-2024,38.0
2025,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,204,PT,2025-03-21T00:00:00,2020-2024,40.0
