Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,386.67999
2015,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,719.19
2017,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,1061.53796
2013,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TRTDISV,72,None,None,T,2025-03-21T00:00:00,2017,386.67999
2015,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TRTDISV,72,None,None,T,2025-03-21T00:00:00,2017,719.19
2017,A,0,Data is based on amount of Clinical waste disposed off at the landfill site through incineration.,Statistics Botswana,EN_HAZ_TRTDISV,72,None,None,T,2025-03-21T00:00:00,2017,1061.53796
2013,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_COLLV,72,None,None,T,2025-03-21T00:00:00,2017,130999.4049
2015,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_COLLV,72,None,None,T,2025-03-21T00:00:00,2017,85945.54138
2017,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_COLLV,72,None,None,T,2025-03-21T00:00:00,2017,240553.3295
2013,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,423.37099
2015,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,718.99998
2017,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_INCINRT,None,T,2025-03-21T00:00:00,2017,1061.53798
2013,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_LANDFIL,None,T,2025-03-21T00:00:00,2017,129493.042
2015,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_LANDFIL,None,T,2025-03-21T00:00:00,2017,84226.63116
2017,A,0,Data is based on 11 out of 14 landfills in the country. Of the three left out one has reached its lifespan while the other two do not have sufficient records as weighbridges were not functioning most of the year.,Statistics Botswana,EN_MWT_TREATV,72,WT_LANDFIL,None,T,2025-03-21T00:00:00,2017,237983.7036
2000,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,5030.00021
2001,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,4096.00019
2002,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,5172.99986
2003,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,4068.99977
2004,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,5492.0001
2005,A,0,"Prior to 1998, the figures for waste generated by manufacturing refer to batteries waste only. For 1998-2004, the figures refer to both tyre and batteries waste. For year 2005, the figure is for tyre waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_C,T,2025-03-21T00:00:00,2005,4590.00015
2000,A,0,"Prior to 2001, the figures for waste generated by other economic activities refer to medical waste only. For 2001-2004, the figures refer to both medical waste and electronic waste.  For year 2005, the figure refers to electronic waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_S,T,2025-03-21T00:00:00,2005,3215.65008
2001,A,0,"Prior to 2001, the figures for waste generated by other economic activities refer to medical waste only. For 2001-2004, the figures refer to both medical waste and electronic waste.  For year 2005, the figure refers to electronic waste only.",Statistics Botswana,EN_TWT_GENV,72,None,ISIC4_S,T,2025-03-21T00:00:00,2005,4258.3251
