Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.12319
2011,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.15339
2015,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.05171
2016,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.04662
2017,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.05365
2018,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.07798
2019,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.06493
2020,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.0546
2021,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.07014
2022,A,9,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_CD,204,USD,2025-03-21T00:00:00,2022,0.18454
2010,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,1.35451
2011,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,1.63806
2015,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.45404
2016,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.39614
2017,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.43145
2018,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.58769
2019,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.4579
2020,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.37077
2021,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,0.44449
2022,A,0,"IEA fossil fuel subsidies database, OECD.Stat- Inventory of Support Measures for Fossil Fuels and IMF Energy Subsidies Template (pre-tax calculations)",ER_FFS_CMPT_GDP,204,PT,2025-03-21T00:00:00,2022,1.10065
2010,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,13.04146
2011,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,15.77032
2015,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,4.72952
2016,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,4.14025
2017,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,4.62671
2018,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,6.53053
2019,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,5.28296
2020,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,4.31836
2021,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,5.39641
2022,A,0,UNEP / WESR,ER_FFS_CMPT_PC_CD,204,USD,2025-03-21T00:00:00,2022,13.8199
