Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,12.44
2002,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.62
2003,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,17.57
2004,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.33
2005,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,15.82
2006,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,13.92
2007,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.65
2008,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.41
2009,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.52
2010,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,14.9
2020,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,9.34
2021,A,0,National Police,VC_IHR_PSRC,72,None,PER_100000_POP,2025-03-21T00:00:00,2021,11.37
2020,A,0,National Police,VC_IHR_PSRC,72,F,PER_100000_POP,2025-03-21T00:00:00,2021,9.62
2021,A,0,National Police,VC_IHR_PSRC,72,F,PER_100000_POP,2025-03-21T00:00:00,2021,8.32
2001,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,213.0
2002,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,255.0
2003,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,312.0
2004,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,259.0
2005,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,291.0
2006,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,261.0
2007,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,280.0
2008,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,281.0
2009,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,289.0
2010,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,303.0
2020,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,221.0
2021,A,0,National Police,VC_IHR_PSRCN,72,None,NUMBER,2025-03-21T00:00:00,2021,273.0
2020,A,0,National Police,VC_IHR_PSRCN,72,F,NUMBER,2025-03-21T00:00:00,2021,114.0
2021,A,0,National Police,VC_IHR_PSRCN,72,F,NUMBER,2025-03-21T00:00:00,2021,100.0
