Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,91.3663
2007,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,89.329
2008,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,85.2023
2010,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,104.3101
2011,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,99.0488
2012,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,97.0565
2013,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,123.7222
2014,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,98.0108
2015,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,119.4162
2016,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,100.4685
2017,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,103.3428
2018,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,98.0508
2019,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,103.8587
2020,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,105.7717
2021,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,112.4495
2022,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,118.6068
2023,A,0,"data provided by WB Economists, https://www.finance.gov.bw/",Public Expenditure and Financial Accountability (PEFA). Ministry of Finance (MoF).,GF_XPD_GBPC,72,PT,2025-03-20T00:00:00,2023,87.2154
