Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,3.03427
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.96137
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.93934
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.92805
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.92109
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.92311
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.92562
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.97032
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.97149
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,3.03429
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,2.97168
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,1.77273
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,1.77355
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,1.77516
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,1.76891
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,None,PT,2025-03-26T00:00:00,2023,1.76922
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,50.00633
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.71203
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.76669
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.76358
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.57339
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.45419
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.45687
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.46455
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.46556
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,50.95977
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,49.22247
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.84269
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.8537
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.89925
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.61408
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,43.61602
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.58567
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.62412
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.56224
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.55167
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48922
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48922
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48921
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,72,AGG_ARMS,PT,2025-03-26T00:00:00,2023,0.48921
