Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,A,0,9.1,7.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,204,None,Y0T4,PT,2025-03-27T00:00:00,2021-2022,9.0
2008,A,0,9.1,7.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,204,None,Y0T4,PT,2025-03-27T00:00:00,2021-2022,5.1
2014,A,0,9.1,7.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,204,None,Y0T4,PT,2025-03-27T00:00:00,2021-2022,4.5
2018,A,0,9.1,7.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,204,None,Y0T4,PT,2025-03-27T00:00:00,2021-2022,5.0
2021,A,0,9.1,7.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,204,None,Y0T4,PT,2025-03-27T00:00:00,2021-2022,8.3
2001,A,3,194.4,160.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,204,None,Y0T4,NUMBER,2025-03-27T00:00:00,2021-2022,118.6
2008,A,3,194.4,160.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,204,None,Y0T4,NUMBER,2025-03-27T00:00:00,2021-2022,81.7
2014,A,3,194.4,160.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,204,None,Y0T4,NUMBER,2025-03-27T00:00:00,2021-2022,84.3
2018,A,3,194.4,160.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,204,None,Y0T4,NUMBER,2025-03-27T00:00:00,2021-2022,103.1
2021,A,3,194.4,160.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,204,None,Y0T4,NUMBER,2025-03-27T00:00:00,2021-2022,177.3
2000,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.5
2001,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.4
2002,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.3
2003,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.3
2004,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.2
2005,A,0,5.4,2.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,204,None,Y0T4,PT,2025-03-28T00:00:00,2024,2.1
