Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,35.1
2005,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,29.4
2010,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,25.4
2015,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,22.1
2020,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,19.6
2022,A,0,23.6,13.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,18.7
2000,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,29.9
2005,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,21.4
2010,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,15.5
2015,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,11.2
2020,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,8.2
2022,A,0,9.1,5.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,7.2
2000,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,40.3
2005,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,37.5
2010,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,35.3
2015,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,33.0
2020,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,31.0
2022,A,0,38.1,22.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,72,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2017. This is a projection.,30.2
