Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,None,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2013,16.5
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,None,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2013,36.6
2006,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,None,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,56.7
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,None,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,68.5
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,F,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2013,39.2
2006,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,F,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,64.4
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,F,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,77.3
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,M,ISCED11_1,SKILL_MATH,PT,2025-03-05T00:00:00,2013,34.1
2006,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,M,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,48.7
2013,A,0,Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ) IV. Students achieving at least proficiency Level 5. Grade 6 Data extracted on 25 February 2025.,SE_TOT_PRFL,72,M,ISCED11_1,SKILL_READ,PT,2025-03-05T00:00:00,2013,60.3
