Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,32.5
2009,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,40.1
2019,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,46.21929
2020,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,42.15567
2021,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,44.6474
2022,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,42.07856
2023,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T24,PT,2025-03-05T00:00:00,2023,39.89062
2006,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T64,PT,2025-03-05T00:00:00,2023,11.7
2009,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T64,PT,2025-03-05T00:00:00,2023,15.0
2019,A,0,UIS based on UIS based on BWA - HS - Multi-Topic Household Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,72,None,Y15T64,PT,2025-03-05T00:00:00,2023,14.90583
