Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,37.36611
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,20.02656
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,18.02836
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,33.96741
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,36.27923
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,AGG_2_3,PT,2025-03-05T00:00:00,2022,35.62378
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,27.9075
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,34.82798
2017,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,25.91865
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,25.01043
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,54.16985
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_02,PT,2025-03-05T00:00:00,2021,53.45374
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,64.99718
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,77.9996
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,72.17684
2009,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,40.39822
2010,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,204,None,ISCED11_1,PT,2025-03-05T00:00:00,2021,42.63103
