Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2025.",SH_FPL_INFM,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,41.1
2012,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2025.",SH_FPL_INFM,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,38.2
2018,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2025.",SH_FPL_INFM,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,25.2
2022,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2025.",SH_FPL_INFM,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,31.6
2006,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMCU,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,86.0
2012,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMCU,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,80.6
2018,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMCU,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,81.2
2022,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMCU,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,66.3
2006,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMRH,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,55.3
2012,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMRH,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,66.9
2018,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMRH,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,46.8
2022,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMRH,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,52.0
2006,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMSR,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,80.6
2012,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMSR,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,63.5
2018,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMSR,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,57.0
2022,A,0,"Based on women aged 15-49 years married or in union, regardless of whether they are using any contraceptives.","MICS 2021-2022. UNFPA Global Database, 2024.",SH_FPL_INFMSR,204,F,Y15T49,PT,2025-03-10T00:00:00,2021-2022,58.5
