Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,25.26
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,29.87
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,28.23
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,28.41
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.28
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.31
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.32
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.64
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,28.11
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.75
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,27.39
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,28.17
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,28.7
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,29.99
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,30.42
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,29.75
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,31.58
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,33.88
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,36.11
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,39.12
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,40.53
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,42.21
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,45.95
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.11
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.13
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.14
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,204,ISIC4_A01_A0210_A0322,USD_PER_M3,2025-03-21T00:00:00,2018-2022,0.16
