Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,44.7
2001,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,46.5
2002,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,48.2
2003,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,49.6
2004,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,50.9
2005,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,52.1
2006,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,53.1
2007,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,54.8
2008,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,55.9
2009,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,57.4
2010,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,58.3
2011,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,59.8
2012,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,60.5
2013,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,61.2
2014,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,62.0
2015,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,62.4
2016,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,63.1
2017,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,63.5
2018,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,64.1
2019,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,64.7
2020,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,65.1
2021,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,65.6
2022,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,66.0
2023,A,0,83.5,46.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,None,PT,2025-06-18T00:00:00,2023,66.4
2000,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,19.8
2001,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,21.3
2002,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,22.7
2003,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,24.3
2004,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,25.3
2005,A,0,60.9,5.1,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,72,R,PT,2025-06-18T00:00:00,2023,26.3
