Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,0.69
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.04
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.65
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.2
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.21
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.69
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.63
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.79
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.96
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.7
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,0.91
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y_GE25,None,PT,2025-03-15T00:00:00,2022,1.26
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,0.82
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,2.38
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,5.63
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,3.89
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,2.32
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,None,Y15T24,None,PT,2025-03-15T00:00:00,2022,3.17
2002,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,0.43
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.14
2011,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,2.86
2013,A,0,Repository: ILO-STATISTICS - Micro data processing,HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions,SL_TLF_UEM,204,F,Y_GE15,None,PT,2025-03-15T00:00:00,2022,1.86
