Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2002,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2003,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2004,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2005,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2006,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2007,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2008,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2011,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,96.0
2012,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,96.0
2014,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2015,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2016,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2017,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,97.0
2018,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,97.0
2019,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,97.0
2020,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2021,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2022,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,98.0
2023,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_2GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,99.0
2011,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_3GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,40.0
2012,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_3GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,45.0
2013,A,0,Botswana Communications Regulatory Authority (BOCRA),IT_MOB_3GNTWK,72,PT,2025-03-06T00:00:00,2023,value for the largest operator,68.24
