Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,75.16964
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,75.52011
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,75.73261
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,75.9236
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,76.11291
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,76.29933
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,77.40737
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,78.89837
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,80.34214
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,81.73516
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,83.07977
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,84.37523
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,85.46791
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,86.5076
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,87.52248
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,88.5125
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,89.4779
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,90.41851
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,91.33267
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,92.2214
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,92.33858
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,92.44852
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,None,PT,2023-09-12T00:00:00,2022,92.56756
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,53.54882
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,53.6563
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,53.76378
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,53.87126
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,53.97873
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,54.08621
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,55.84549
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,57.61131
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,59.38369
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,61.16262
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,62.9481
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,64.74013
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,66.53872
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,68.34385
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,70.15554
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,71.97378
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,73.79858
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,75.62992
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,77.46781
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,79.31226
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,79.4656
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,79.61894
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,R,PT,2023-09-12T00:00:00,2022,79.61894
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.17494
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.09839
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.02185
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,93.9453
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,93.86875
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,93.79221
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.07578
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.35876
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.64116
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,94.92297
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,95.20419
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,95.48482
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,95.76486
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,96.04431
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,96.32318
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,96.60146
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,96.87915
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.15625
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.43276
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.70869
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.62802
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.54736
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVH2O,72,U,PT,2023-09-12T00:00:00,2022,97.54736
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,51.91611
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,53.33124
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,54.63514
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,55.93063
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,57.23544
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,58.54847
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,59.87078
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,61.60233
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,63.34246
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,65.0869
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,66.83741
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,68.59232
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,70.14986
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,71.68014
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,73.21769
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,74.76207
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SP_ACS_BSRVSAN,72,None,PT,2023-09-12T00:00:00,2022,76.01731
