Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,28.02485
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,32.50575
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,34.3743
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,34.25221
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,30.50953
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,30.7971
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,39.85042
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,36.58592
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,36.67548
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,25.42048
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,28.01167
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,27.58848
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,24.78118
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,26.36972
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,24.86804
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,19.70198
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,19.08789
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,19.24692
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,19.97803
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,18.84658
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,13.36936
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,13.84674
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,14.03317
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,None,T,2025-03-21T00:00:00,2023,,13.86507
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,72,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.84882
