Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Ministry of Environment and Tourism,SG_HAZ_CMRBASEL,72,PT,2025-03-21T00:00:00,2020-2024,17.0
2020,A,0,Ministry of Environment and Tourism,SG_HAZ_CMRBASEL,72,PT,2025-03-21T00:00:00,2020-2024,20.0
2025,A,0,Ministry of Environment and Tourism,SG_HAZ_CMRBASEL,72,PT,2025-03-21T00:00:00,2020-2024,20.0
2020,A,0,"Ministry of Environment, Natural Resources, Conservation and Tourism",SG_HAZ_CMRMNMT,72,PT,2025-03-25T00:00:00,2020-2024,66.67
2025,A,0,"Ministry of Environment, Natural Resources, Conservation and Tourism",SG_HAZ_CMRMNMT,72,PT,2025-03-25T00:00:00,2020-2024,66.67
2015,A,0,Department of Meteorological Services,SG_HAZ_CMRMNTRL,72,PT,2025-03-21T00:00:00,2020-2024,100.0
2020,A,0,Department of Meteorological Services,SG_HAZ_CMRMNTRL,72,PT,2025-03-21T00:00:00,2020-2024,100.0
2025,A,0,Department of Meteorological Services,SG_HAZ_CMRMNTRL,72,PT,2025-03-21T00:00:00,2020-2024,100.0
2015,A,0,Ministry of Agriculture,SG_HAZ_CMRROTDAM,72,PT,2025-03-21T00:00:00,2020-2024,10.0
2020,A,0,Ministry of Agriculture,SG_HAZ_CMRROTDAM,72,PT,2025-03-21T00:00:00,2020-2024,9.0
2025,A,0,Ministry of Agriculture,SG_HAZ_CMRROTDAM,72,PT,2025-03-21T00:00:00,2020-2024,90.16
2015,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,72,PT,2025-03-21T00:00:00,2020-2024,33.0
2020,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,72,PT,2025-03-21T00:00:00,2020-2024,38.0
2025,A,0,World Environment Situation Room,SG_HAZ_CMRSTHOLM,72,PT,2025-03-21T00:00:00,2020-2024,80.0
