Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,72,None,None,KM2,2025-03-21T00:00:00,2000-2021,,120.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,72,None,None,KM2,2025-03-21T00:00:00,2000-2021,,153.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,72,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,120.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,72,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,153.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,72,None,None,PT,2025-03-21T00:00:00,2000-2021,,2.8
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,72,None,None,PT,2025-03-21T00:00:00,2000-2021,,3.6
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,72,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,2.8
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,72,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,3.6
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,149.5
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,167.0
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,176.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,193.0
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,198.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,202.9
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,51.8
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,48.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,69.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,95.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,107.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,115.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,3834.9
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,72,None,LC_GRS,KM2,2025-03-21T00:00:00,2021,,3821.7
