Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
1993,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97761
1994,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97758
1995,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97755
1996,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97751
1997,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97746
1998,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97742
1999,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97739
2000,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97734
2001,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.9773
2002,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97726
2003,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.9772
2004,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97713
2005,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97701
2006,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97689
2007,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97675
2008,A,0,0.97644,0.97565,"BirdLife International and IUCN (2020), based on global estimates of the extinction risk (IUCN Red List categories) of all mammals, birds, amphibians, corals and cycads, derived from local and national data, disaggregated to the national scale and weighted by the proportion of each species's distribution in the country or region.",ER_RSK_LST,72,IX,2025-04-17T00:00:00,2024,0.97662
