Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2005,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2010,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2015,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2016,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2017,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2018,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2019,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2020,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
2021,A,0,Source: The Office of the United Nations High Commissioner for Human Rights (OHCHR) in collaboration with Global Alliance of National Human Rights Institutions (GANHRI).,SG_NHR_CMPLNC,72,NUMBER,2025-03-17T00:00:00,2024,0
