Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,80.02998
2001,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,38.077408
2002,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,28.933447
2003,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,46.465568
2004,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,47.605821
2005,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,60.461011
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,64.694193
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,58.771407
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,116.759054
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,105.988231
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,99.490876
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,112.202002
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,104.306261
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,75.173288
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,89.294299
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,93.131024
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,94.904029
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,134.074086
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,105.500321
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,134.050265
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,178.613027
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,124.246785
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,177.023365
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_FTA_TOTAL,204,CON_USD,2025-05-19T00:00:00,2023,219.680292
