Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,18.4
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,16.9
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,15.2
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,13.9
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,12.4
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.8
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.7
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,9.3
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.7
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.0
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.8
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,8.0
2012,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,7.2
2013,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.6
2014,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.4
2015,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,6.0
2016,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,5.4
2017,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.7
2018,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,4.1
2019,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.5
2020,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.1
2021,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.5
2022,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.1
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,None,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.9
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,11.0
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,72,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,10.0
