Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,7239210
2011,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,7706956
2012,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6277773
2013,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6618720
2014,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,4358046
2015,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,7029345
2016,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6938376
2017,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,5909521
2018,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,5685180
2019,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6070676
2020,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,5599018
2021,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6005261
2022,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6215444
2023,A,0,Aggregation across diseases,WHO Global Health Observatory,SH_TRP_INTVN,204,NUMBER,2025-02-13T00:00:00,2023,6385123
