Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.7
2005,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.8
2010,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.4
2015,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.4
2019,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.2
2020,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,6.9
2021,A,0,11.5,4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,None,PER_100000_POP,2025-03-13T00:00:00,2021,7.1
2000,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.1
2005,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.1
2010,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.4
2015,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.2
2019,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.1
2020,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,2.9
2021,A,0,5.1,1.5,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,F,PER_100000_POP,2025-03-13T00:00:00,2021,3.1
2000,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,10.4
2005,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,10.5
2010,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.4
2015,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.6
2019,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.4
2020,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,10.9
2021,A,0,17.9,6.4,"Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",SH_STA_SCIDE,204,M,PER_100000_POP,2025-03-13T00:00:00,2021,11.1
