Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,14.81867562
2005,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,15.87018026
2006,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,18.81134973
2007,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,31.55928994
2008,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,28.53368479
2009,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,27.22074672
2010,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,28.68998309
2011,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,26.32466126
2012,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,25.71429174
2013,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,26.84942635
2014,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,27.77772159
2015,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,30.93736931
2016,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,30.67955208
2017,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,32.2152786
2018,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,40.61998011
2019,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,41.27345738
2020,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,43.24990098
2021,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,33.57426564
2022,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,35.48181656
2023,A,0,IMF,FB_ATM_TOTL,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,35.62231523
2004,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.642854588
2005,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.314836126
2006,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.648839129
2007,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.593212617
2008,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.482987369
2009,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.421888488
2010,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.731733983
2011,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.320601379
2012,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.360657696
2013,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.536740686
2014,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.697393411
2015,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.047673892
2016,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.249963584
2017,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.613376388
2018,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.480419449
2019,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.591127228
2020,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.285646792
2021,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,6.910655021
2022,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,7.728154003
2023,A,0,IMF,FB_CBK_BRCH,72,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,8.161149619
