Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,10.4639373719692
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,16.620834171772
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,38.4892225265503
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,None,PT,2024-05-08T00:00:00,2021,48.6055314540863
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,8.5662603378296
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,12.3696714639664
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,31.4403891563416
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_0_1,PT,2024-05-08T00:00:00,2021,41.0090386867523
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,19.9312463402748
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,31.9730311632156
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,55.6704342365265
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,None,AGG_GE2,PT,2024-05-08T00:00:00,2021,63.6144936084747
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,3.5783860832453
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,10.0133158266544
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,31.8528890609741
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,B40,None,PT,2024-05-08T00:00:00,2021,41.1917269229889
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,15.0243759155273
2014,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,20.9783554077148
2017,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,42.9043292999268
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,None,R60,None,PT,2024-05-08T00:00:00,2021,53.5391807556152
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,R,None,None,PT,2024-05-08T00:00:00,2021,44.595205783844
2021,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE15,U,None,None,PT,2024-05-08T00:00:00,2021,53.2555401325226
2011,A,0,"The World Bank (2021), Global Findex Database (https://www.worldbank.org/en/publication/globalfindex)",FB_BNK_ACCSS,204,None,Y_GE25,None,None,None,PT,2024-05-08T00:00:00,2021,14.837284386158
