Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2023,29.89
2020,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2023,29.24
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2023,31.18
2022,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2023,35.82
2023,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,2023,39.69
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2023,121.45
2020,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2023,138.94
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2023,122.65
2022,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2023,76.49
2023,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,2023,80.59
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2023,110.41
2020,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2023,98.8
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2023,100.49
2022,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2023,128.45
2023,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,2023,126.69
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2023,83.98
2020,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2023,84.67
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2023,85.05
2022,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2023,105.43
2023,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,2023,121.73
2019,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2023,66.95
2020,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2023,65.03
2021,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2023,68.22
2022,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2023,73.65
2023,A,0,Repository: ILO-STATISTICS - Micro data processing | Currency: BWA - Pula (BWP),HS - Multi-Topic Household Survey,SL_EMP_EARN,72,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,2023,74.2
