Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,2.08121
2007,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,9.45379
2008,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,5.01597
2009,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,5.65197
2010,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,16.0291
2011,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,4.48172
2012,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,76.5924
2013,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,3.33427
2014,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,7.19362
2015,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,2.50989
2016,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,6.98837
2017,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,8.62053
2018,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,2.84952
2019,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,31.242
2020,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,4.22582
2021,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,72,CON_USD,2025-05-19T00:00:00,2023,44.7136
