Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.82
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.67
2003,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.64
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.77
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.55
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,2.48
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.73
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.0
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.03
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.34
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.55
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF_19ICLS,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.49
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF_19ICLS,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.06
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF_19ICLS,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.07
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF_19ICLS,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.97
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_MANF_19ICLS,72,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.34
