Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2005,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,25.82353
2007,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,26.50779
2009,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,20.4774
2010,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,23.55053
2011,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,24.1945
2012,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,21.67182
2013,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,20.91292
2014,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,22.66013
2015,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,23.05355
2016,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,22.00429
2017,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,22.81626
2018,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,22.56107
2019,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,22.342
2020,A,0,UNESCO Institute for Statistics. Sector Name: General government.,SD_XPD_ESED,72,PT,2025-03-14T00:00:00,2020,,21.46509
2017,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,16.48611175
2018,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,22.37806136
2019,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,21.95994106
2020,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,22.92603434
2021,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,24.26040733
2022,A,0,IMF,SG_XPD_EDUC,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,22.01461843
2017,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,30.74052636
2018,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,38.23634793
2019,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,38.61911284
2020,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,42.24793499
2021,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,40.49515057
2022,A,0,IMF,SG_XPD_ESSRV,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,38.5924183
2017,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,9.197411418
2018,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,11.93009789
2019,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,12.37116807
2020,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,15.68563402
2021,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,14.91525793
2022,A,0,IMF,SG_XPD_HLTH,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,15.11325981
2017,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,5.057003191
2018,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,3.928188685
2019,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,4.288003709
2020,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,3.636266632
2021,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,1.319485311
2022,A,0,IMF,SG_XPD_PROT,72,PT,2025-03-26T00:00:00,2022,Budgetary Central Government Sector,1.464540055
