Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,62
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,62
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,64
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,58
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,57
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,54
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,None,PT,2025-03-24T00:00:00,2023,52
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,62
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,65
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,65
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,58
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,56
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,54
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,F,PT,2025-03-24T00:00:00,2023,49
2015,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,62
2016,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,59
2017,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,63
2018,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,56
2019,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,59
2022,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,55
2023,A,0,Gallup World Poll,SP_PSR_OSATIS_HLTH,72,M,PT,2025-03-24T00:00:00,2023,56
