Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,47.31798361
2007,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,43.9871145
2008,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,41.42651116
2009,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,41.3258398
2010,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,37.08508532
2011,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,37.14297125
2012,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,39.14088811
2013,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,40.78027065
2014,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,40.21511517
2015,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,35.42666289
2016,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,34.86892336
2017,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,33.80376901
2018,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,30.75268879
2019,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,30.20933755
2020,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,28.84629505
2021,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,32.90777091
2022,A,0,Budgetary Central Government Sector,IMF,GR_G14_GDP,72,PT,2025-03-26T00:00:00,2022,29.42441159
2006,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,27364.78
2007,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,28534.6
2008,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,30348.17
2009,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,29919.5
2010,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,31838.62
2011,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,38379.87
2012,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,41591.236943
2013,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,48882.096093
2014,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,55843.03
2015,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,48553.25
2016,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,57330.86
2017,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,56332.887
2018,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,53425.23
2019,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,54249.85
2020,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,49339.25
2021,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,68363.49
2022,A,6,Budgetary Central Government Sector,IMF,GR_G14_XDC,72,CUR_LCU,2025-03-26T00:00:00,2022,74071.24
