Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.006078
2001,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.006039
2002,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.006895
2003,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.007132
2004,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.006168
2005,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.005501
2006,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.006065
2007,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.007461
2008,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.00793
2009,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.009738
2010,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.008379
2011,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.007693
2012,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.007796
2013,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.010461
2014,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.013464
2015,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.010153
2016,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.011055
2017,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.012493
2018,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.017108
2019,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.016054
2020,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.016974
2021,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.016332
2022,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.014941
2023,A,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBMRCH,204,PT,2025-03-19T00:00:00,2023,0.016099
2000,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008939
2001,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009647
2002,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009313
2003,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009086
2004,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009365
2005,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.00719
2006,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.007136
2007,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008293
2008,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.008538
2009,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.006042
2010,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009428
2011,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009163
2012,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009384
2013,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.010484
2014,E,0,UNCTADstat. Data compiled by UNCTAD and WTO.,TX_EXP_GBSVR,204,PT,2025-03-19T00:00:00,2023,0.009096
