Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,2.26541
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.85123
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.69254
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.65995
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.52871
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.55339
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.51389
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.44135
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.44477
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.45612
2018,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.48274
2019,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.49989
2020,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.52113
2021,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.52278
2022,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.49294
2023,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,None,PT,2025-03-26T00:00:00,2023,1.49256
2000,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.61098
2005,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.62746
2010,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.56293
2011,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.56218
2012,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.04406
2013,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.05084
2014,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.04849
2015,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.04834
2016,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.04809
2017,A,0,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",TM_TAX_DMFN,204,AGG_AGR,PT,2025-03-26T00:00:00,2023,1.04439
