Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,30.3
2001,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,30.2
2002,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,30.1
2003,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,29.8
2004,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,29.6
2005,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,29.3
2006,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,28.9
2007,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,28.3
2008,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,27.8
2009,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,27.1
2010,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,26.2
2011,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,25.4
2012,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,24.7
2013,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,23.7
2014,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,23.2
2015,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.9
2016,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.7
2017,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.6
2018,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.5
2019,A,0,34.4,11.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,72,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.2
