Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-2.77
2011,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.48
2012,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.1
2013,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.27
2014,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.51
2015,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.58
2016,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,0.14
2017,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.04
2018,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-1.3
2019,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,0.02
2020,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,1.01
2021,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,-0.41
2022,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,0.42
2023,A,0,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,AG_FPA_CFPI,72,None,IX,2025-03-21T00:00:00,2023,2.06
2015,A,0,National Average. Wheat (flour). Retail,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,72,CPC2_1_111,IX,2025-03-21T00:00:00,2024,-0.03
2016,A,0,National Average. Wheat (flour). Retail,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,72,CPC2_1_111,IX,2025-03-21T00:00:00,2024,0.1
2017,A,0,National Average. Wheat (flour). Retail,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,72,CPC2_1_111,IX,2025-03-21T00:00:00,2024,-0.3
2018,A,0,National Average. Wheat (flour). Retail,Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,AG_FPA_COMM,72,CPC2_1_111,IX,2025-03-21T00:00:00,2024,-0.28
