Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,10.831039
2002,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,7.50351
2003,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,10.78124
2004,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,10.194328
2005,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,8.972871
2006,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,7.263965
2007,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,7.875447
2008,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,7.634994
2009,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,4.883801
2010,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,5.50431
2011,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,2.730382
2012,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,2.00879
2013,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,4.117531
2014,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,4.61531
2015,A,0,Benin 2021 Multiple Indicator Cluster Survey,SP_DYN_ADKL,204,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2018-2021,2.038005
