Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2012,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,AGG_2_3,PT,2025-03-05T00:00:00,2022,100.0
2015,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,AGG_2_3,PT,2025-03-05T00:00:00,2022,15.03387
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,AGG_2_3,PT,2025-03-05T00:00:00,2022,98.64407
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,51.35773
2012,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,ISCED11_2,PT,2025-03-05T00:00:00,2022,100.0
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,ISCED11_2,PT,2025-03-05T00:00:00,2022,95.16908
2012,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,100.0
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,96.59091
2012,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,79.18719
2021,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,44.09257
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,97.87485
2012,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_2,PT,2025-03-05T00:00:00,2022,100.0
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_2,PT,2025-03-05T00:00:00,2022,100.0
2012,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,100.0
2021,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,85.33333
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_ELECT,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,98.86364
2021,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_H2O,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,92.69184
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_H2O,72,ISCED11_1,PT,2025-03-05T00:00:00,2022,100.0
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_H2O,72,ISCED11_2,PT,2025-03-05T00:00:00,2022,100.0
2021,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_H2O,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,85.33333
2022,A,0,Source: UIS Dynamic Template based on Statistics Botswana-Education sector (https://www.statsbots.org.bw/publication-by-sector/education) Data extracted on 25 February 2025.,SE_ACS_H2O,72,ISCED11_3,PT,2025-03-05T00:00:00,2022,100.0
2012,A,0,NA Data extracted on 25 February 2025.,SE_ACS_INTNT,72,AGG_2_3,PT,2025-03-05T00:00:00,2022,86.28159
