Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.162829
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.743803
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.080356
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.758019
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.366339
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,0.952076
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.475928
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.493697
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.934439
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.238544
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.946055
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,1.866976
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,2.524877
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,5.086645
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,3.321466
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,4.892486
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,5.79354
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,204,CON_USD,2025-05-19T00:00:00,2023,8.51808
