Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2016,A,0,Administrative data on 2020 election results. Data provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,SG_GEN_LOCGELS,204,F,PT,2025-04-17T00:00:00,2021,,4.64789
2021,A,0,Administrative data on 2020 election results. Data provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,SG_GEN_LOCGELS,204,F,PT,2025-04-17T00:00:00,2021,,3.52617
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.02
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.02
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.02
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.02
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.23
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.23
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.23
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.23
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",10.84
2009,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",10.84
2010,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",10.84
2011,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",10.84
2012,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",8.43
2013,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",8.43
2014,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,204,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",8.43
