Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.401953219
2015,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.572454445
2016,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.76152846
2017,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.724032255
2018,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.726999624
2019,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.640192235
2020,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.252435037
2021,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.140383383
2022,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.967681478
2023,A,0,IMF,FB_ATM_TOTL,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,4.118079227
2004,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,0.937376398
2005,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.08187139
2006,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.602220721
2007,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,1.989942086
2008,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.389489139
2009,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.759070931
2010,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.970373718
2011,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.186365995
2012,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.176284869
2013,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.251342462
2014,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.352168538
2015,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.540270171
2016,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.51180043
2017,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.26988198
2018,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.17090658
2019,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.82887028
2020,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.32739235
2021,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,3.376623342
2022,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.900960556
2023,A,0,IMF,FB_CBK_BRCH,204,Y_GE15,PER_100000_POP,2025-03-27T00:00:00,2023,2.728543291
