Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,70.98
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,73.85
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,71.31
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,74.4
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,76.14
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,96.08
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.53
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,97.84
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,98.61
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_A,PT,2025-03-15T00:00:00,2023,99.17
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,66.61
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,67.92
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,65.67
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,69.27
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,None,Y_GE15,ISIC4_BTU,PT,2025-03-15T00:00:00,2023,71.1
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,69.8
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_ISV_IFEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,72.02
