Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.011566
2001,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.012297
2002,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.052695
2003,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.012966
2004,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.015529
2005,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.014727
2006,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.03605
2007,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.037441
2008,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.046211
2009,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.027875
2010,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.048112
2011,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.038696
2012,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.029258
2013,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.033017
2014,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.029945
2015,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.028753
2016,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.044931
2017,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.12583
2018,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.104598
2019,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.083475
2020,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.051488
2021,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.048643
2022,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.052685
2023,A,0,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,DC_ODA_POVLG,72,PT,2025-05-19T00:00:00,2023,0.012954
