Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.29495
2001,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.0
2002,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.28405
2003,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.27913
2004,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.27427
2005,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.0
2006,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.52845
2007,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,0.82897
2008,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,1.47216
2009,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,1.59084
2010,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,2.72534
2011,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,4.20565
2012,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,5.88229
2013,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,7.65082
2014,A,0,"UNHCR based on National data on refugee populations, available at UNHCR refugee statistics (https://www.unhcr.org/refugee-statistics/), and National population estimates, available in the World Population Prospects (https://population.un.org/wpp/).",SM_POP_REFG_OR,72,PER_100000_POP,2025-06-18T00:00:00,31 December 2024,10.69541
