Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,56.69291
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,42.53968
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,95.46788
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,94.85294
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,95.35928
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,95.65326
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,90.02625
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,87.29551
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,89.64116
2022,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,92.49835
2023,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,None,PT,2025-03-26T00:00:00,2023,93.89527
2005,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,84.67742
2010,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,35.35032
2015,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,96.02888
2016,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,93.33333
2017,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,97.80439
2018,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,97.81312
2019,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,92.0
2020,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,87.80488
2021,A,0,ITC/UNCTAD/WTO database,TM_TRF_ZERO,72,AGG_AGR,PT,2025-03-26T00:00:00,2023,87.5
