Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,204,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.07193
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,204,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.10576
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,204,None,None,PT,2024-05-16T00:00:00,2010-2021,,99.2502
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,204,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.17655
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BP,204,None,None,PT,2024-05-16T00:00:00,2010-2021,,98.07097
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,None,None,T,2024-05-16T00:00:00,2010-2021,,29451.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,None,None,T,2024-05-16T00:00:00,2010-2021,,30816.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,None,None,T,2024-05-16T00:00:00,2010-2021,,32298.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,None,None,T,2024-05-16T00:00:00,2010-2021,,32843.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,None,None,T,2024-05-16T00:00:00,2010-2021,,33554.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,283.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,241.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,221.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,178.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,149.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C120,None,T,2024-05-16T00:00:00,2010-2022,Cameroon,116.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,994.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,1467.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,1455.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,1310.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,1153.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C204,None,T,2024-05-16T00:00:00,2010-2022,Benin,1302.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,78.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,52.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,19.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,25.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,13.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C226,None,T,2024-05-16T00:00:00,2010-2022,Equatorial Guinea,18.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,29.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,27.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,32.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,19.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,20.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C266,None,T,2024-05-16T00:00:00,2010-2022,Gabon,25.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C288,None,T,2024-05-16T00:00:00,2010-2022,Ghana,1.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,204,C288,None,T,2024-05-16T00:00:00,2010-2022,Ghana,2.0
