Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,79.69074843
2007,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,68.97964548
2008,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,58.04163658
2009,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,51.62712532
2010,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,53.41067215
2011,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,64.02407584
2012,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,73.88569153
2013,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,76.17048314
2014,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,74.35969301
2015,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,67.86728918
2016,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,62.66022394
2017,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,68.494797
2018,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,60.2488926
2019,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,61.383108
2020,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,58.00138895
2021,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,67.41406837
2022,A,0,Budgetary Central Government Sector,IMF,GC_GOB_TAXD,72,PT,2025-03-26T00:00:00,2022,66.77026972
