Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,529.46958
2001,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,532.46162
2002,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,534.39127
2003,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,532.27208
2004,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,530.58961
2005,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,514.17621
2006,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,509.44859
2007,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,500.8454
2008,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,563.37923
2009,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,597.959
2010,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,606.71536
2011,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,613.37674
2012,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,617.87745
2013,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,607.16918
2014,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,605.17605
2015,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,606.42385
2016,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,604.17929
2017,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,591.64534
2018,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,585.48424
2019,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,572.14795
2020,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,577.71734
2021,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,583.57526
2022,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,547.07244
2023,A,0,739.66915,392.86744,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,204,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,518.23295
