Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.5
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.3
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.4
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,43.3
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,44.5
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,43.0
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,43.8
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,47.1
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.0
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.3
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,50.5
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,52.0
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,48.8
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,47.6
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,72,None,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,48.4
