Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,11.0
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,11.8
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,13.1
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,14.6
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,16.4
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,18.2
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,20.1
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,21.3
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,22.2
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,22.9
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.3
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.5
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.7
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.7
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.6
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.5
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,72,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,23.4
