Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.38
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.59
2010,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.52
2011,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.54
2016,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.45
2018,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.73
2019,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,0.6
2021,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,2.05
2022,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,1.9
2023,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_221,PER_10000_POP,2025-05-01T00:00:00,2023,2.16
2004,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,7.1
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,204,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,7.73
