Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,19.59163
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,20.19215
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,22.26492
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,62.84475
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,56.14628
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,80.6739
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,None,PT,2025-03-05T00:00:00,2018,76.52784
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,F,PT,2025-03-05T00:00:00,2018,62.49018
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,F,PT,2025-03-05T00:00:00,2018,55.42082
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,F,PT,2025-03-05T00:00:00,2018,80.77967
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,F,PT,2025-03-05T00:00:00,2018,76.04535
2011,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,M,PT,2025-03-05T00:00:00,2018,63.18888
2012,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,M,PT,2025-03-05T00:00:00,2018,56.85137
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,M,PT,2025-03-05T00:00:00,2018,80.57076
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_PRE_PARTN,204,M,PT,2025-03-05T00:00:00,2018,76.99806
