Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2001,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.65999
2006,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.76157
2011,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.90786
2012,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.9079
2013,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.8527
2014,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.82875
2017,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.84893
2019,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.82069
2021,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.91909
2022,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2022,,0.96081
2001,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2022,,0.36411
2006,A,0,Benin Enquête Harmonisée sur les Conditions de Vie des Ménages (EHCVM) 2021-22. The survey collected data on school attendance and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,204,None,None,None,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2022,,0.37204
