Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.044618
2007,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.091184
2008,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.306155
2009,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.642156
2010,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.740232
2011,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,2.174833
2012,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.327389
2013,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.809181
2014,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.22289
2015,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,2.012077
2016,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.210448
2017,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.418695
2018,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.534554
2019,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.422957
2020,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,1.27415
2021,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.470705
2022,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.485961
2023,A,6,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_SCHIPSL,72,CON_USD,2025-05-19T00:00:00,2023,0.572615
