Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-35.3203
2006,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-55.54245
2007,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-44.52055
2008,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-43.57249
2009,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-27.60975
2010,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-33.21327
2011,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-28.36127
2012,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-36.58259
2013,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,-4.01857
2014,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,23.90679
2015,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,69.75255
2016,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,91.37319
2017,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,94.08176
2018,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,107.91473
2019,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,95.81747
2020,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,45.80174
2021,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,21.14459
2022,B,0,Extent area change calculated using the median spatial extent for the new baseline reference period (2000-2019),Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAC,72,None,PT,2024-05-08T00:00:00,2017-2021,42.11198
2000,A,0,,Global Surface Water Explorer extraction for UN Environment Programme,EN_LKRV_PWAN,72,None,KM2,2023-03-30T00:00:00,2017-2021,103.70183
