Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,26.5
2001,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,24.8
2002,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,27.0
2003,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,33.1
2004,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,35.3
2005,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,37.5
2006,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,39.7
2007,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,41.9
2008,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,44.5
2009,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,43.4
2010,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,52.0
2011,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,53.2
2012,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,56.0
2013,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,58.0
2014,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,60.0
2015,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,62.1
2016,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,64.2
2017,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,67.4
2018,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,68.3
2019,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,70.1
2020,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,71.8
2021,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,73.7
2022,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,75.93832
2023,A,0,World Bank,EG_ACS_ELEC,72,None,PT,2025-05-19T00:00:00,2023,76.04592
2000,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,12.1
2001,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,10.4
2002,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,6.4
2003,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,16.4
2004,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,17.9
2005,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,19.3
2006,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,20.7
2007,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,21.3
2008,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,21.6
2009,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,16.2
2010,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,25.2
2011,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,25.2
2012,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,25.3
2013,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,25.9
2014,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,26.8
2015,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,26.5
2016,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,28.8
2017,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,31.0
2018,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,29.1
2019,A,0,World Bank,EG_ACS_ELEC,72,R,PT,2025-05-19T00:00:00,2023,27.9
