Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-0.2
2001,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-1.8
2002,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,3.6
2003,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,2.4
2004,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,0.5
2005,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,2.2
2006,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,5.9
2007,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,3.8
2008,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,1.2
2009,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-15.9
2010,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,7.8
2011,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,4.8
2012,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-1.8
2013,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,9.4
2014,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,4.2
2015,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-6.2
2016,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,5.7
2017,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,2.6
2018,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,2.7
2019,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,1.6
2020,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,-10.0
2021,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,10.3
2022,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,3.8
2023,A,0,2015,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",NY_GDP_PCAP,72,PT,2025-03-13T00:00:00,2023,1.1
