Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.81
2001,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.05
2002,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,6.26
2003,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,4.87
2004,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.91
2005,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.86
2006,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,2.69
2007,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,0.66
2008,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-1.55
2009,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-17.57
2010,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,14.93
2011,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,3.7
2012,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.71
2013,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,9.34
2014,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,4.1
2015,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-6.22
2016,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,5.49
2017,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,2.19
2018,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,1.71
2019,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,0.95
2020,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-6.96
2021,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,8.79
2022,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,3.25
2023,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-4.84
2024,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,72,Y_GE15,PT,2025-03-15T00:00:00,2024,-1.6
