Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.10597
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.55563
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.51474
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.43894
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.18415
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.06968
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.70823
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.63843
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.87445
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,5.00356
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.81438
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,5.11446
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,5.09847
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,5.15828
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.80716
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.31183
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.37154
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.62141
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.64951
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.65542
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.40443
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.4679
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.43001
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,None,T,2025-03-21T00:00:00,2023,,4.29387
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.80346
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,1.22701
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.93758
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.99706
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.75481
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,204,MF_AGG3A,T,2025-03-21T00:00:00,2023,,0.83351
